id,player_id,player_name,team,season,split_type,split_category,games,completions,attempts,completion_pct,pass_yards,pass_tds,interceptions,rating,sacks,sack_yards,net_yards_per_attempt,scraped_at,updated_at,rush_attempts,rush_yards,rush_tds,fumbles,fumbles_lost,fumbles_forced,fumbles_recovered,fumble_recovery_yards,fumble_recovery_tds,incompletions,wins,losses,ties,attempts_per_game,yards_per_game,rush_attempts_per_game,rush_yards_per_game,total_tds,points
64,joeburrow,Joe Burrow,CIN,2024,other,2nd & 7-9,0,51,68,75.00,348,0,1,79.80,5,-30,5.10,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
65,joeburrow,Joe Burrow,CIN,2024,other,2nd & 10+,0,54,83,65.06,533,2,3,76.00,1,-8,6.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
66,joeburrow,Joe Burrow,CIN,2024,other,3rd & 1-3,0,26,48,54.17,210,6,0,105.00,7,-66,4.40,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
67,joeburrow,Joe Burrow,CIN,2024,other,3rd & 4-6,0,39,62,62.90,463,7,1,116.50,10,-62,7.50,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
68,joeburrow,Joe Burrow,CIN,2024,other,3rd & 7-9,0,14,23,60.87,174,1,1,80.70,2,-17,7.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
69,joeburrow,Joe Burrow,CIN,2024,other,3rd & 10+,0,23,31,74.19,360,1,0,123.10,9,-36,11.60,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
70,joeburrow,Joe Burrow,CIN,2024,other,4th & 1-3,0,9,13,69.23,113,3,0,135.60,2,-8,8.70,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
71,joeburrow,Joe Burrow,CIN,2024,other,4th & 4-6,0,4,6,66.67,55,2,0,135.40,1,-5,9.20,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
72,joeburrow,Joe Burrow,CIN,2024,other,4th & 10+,0,1,1,100.00,10,0,0,108.30,0,0,10.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
73,joeburrow,Joe Burrow,CIN,2024,other,Own 1-10,0,7,11,63.64,44,0,0,71.80,0,0,4.00,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
74,joeburrow,Joe Burrow,CIN,2024,other,Own 1-20,0,29,40,72.50,289,0,1,82.20,1,-7,7.20,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
75,joeburrow,Joe Burrow,CIN,2024,other,Own 21-50,0,203,271,74.91,2490,4,2,104.60,25,-131,9.20,2025-07-07 23:36:58.133716+00,2025-07-08 03:36:58.394427+00,,,,,,,,,,,,,,,,,,,
